# id|categoria|serie
# categorias: pildora, webinar, curso, charla
YPj4IRKJqw8|webinar|Webinars
-8AkbsfnTYg|webinar|Webinars
RDaM-k3Jq8A|webinar|Webinars
70-fd1i7Q_A|curso|Lanza tu startup
rR6AuQzF4lQ|curso|Lanza tu startup
rHr4HY4e1K4|webinar|Webinars
GtoS-t1a77c|webinar|Webinars
pNEIryh-Hfw|webinar|Webinars
2eLwVE5fP1I|webinar|Webinars
UT2ztIXr2m4|webinar|Webinars
1j8qwh0j-vQ|webinar|Webinars
YFoZ_WgXyvI|curso|Lanza tu startup
YpgWGFNxXw0|curso|Lanza tu startup
NhT2TLhmHfg|webinar|Webinars
hgUkPdEfemg|webinar|Webinars
reT6tEuWlnE|webinar|Webinars
xM5gHcxDFHU|webinar|Webinars
f-UGhY05CcA|curso|Lanza tu startup
iqNtMhgVT-A|curso|Lanza tu startup
PPvqZWjvHDM|webinar|Webinars
IcY8S1QYy7Q|webinar|Webinars
q40UhjgRj3o|webinar|Webinars
lyrUyh_STVE|webinar|Webinars
gbPB32qSiI8|webinar|Webinars
d6LSIbnp5V8|webinar|Webinars
bIej-uyZW1U|webinar|Webinars
k08_dziCczY|webinar|Webinars
EyXRqLTWkbQ|webinar|Webinars
qTeSkPXd3Rg|webinar|Webinars
IVLTL-RsOqk|webinar|Webinars
MzOx-yiYaQw|webinar|Webinars
w6rsOv7p1aA|webinar|Webinars
JmFLYbi9Kos|webinar|Webinars
qMgvqT0IQcQ|webinar|Webinars
tSvOdRGTBRs|webinar|Webinars
uJ40moE4kZY|webinar|Webinars
PsJLiOQuXQI|webinar|Webinars
KD9EhW4T8dY|charla|Conferencias

# --- Bloque nuevo 2025-2026: IA, agentes, datos, copilots (añadido tras feedback del usuario) ---
nyMvfPtrRd0|webinar|IA: Ecosistema y Agentes
8sLat0N5Ue0|webinar|IA: Ecosistema y Agentes
dswj3ByT0aM|webinar|IA: Ecosistema y Agentes
xHcb3NUHqkE|webinar|IA: Ecosistema y Agentes
QzAsVTLOuJE|webinar|Datos y Analitica con IA
CF_tnKM7uSY|webinar|Datos y Analitica con IA
LldJ3q1oDXk|webinar|Datos y Analitica con IA
nr5CNOcSirI|webinar|Datos y Analitica con IA
15AysoFJy3o|webinar|Datos y Analitica con IA
YXJvGVqNKSQ|webinar|Datos y Analitica con IA
WRYR_jwMB7I|webinar|Automatizacion con Power Automate
Qxi418FJhsQ|webinar|Automatizacion con Power Automate
2GtZHj09rcE|webinar|IA de Google: Gemini y NotebookLM
P32P9ShFJSU|webinar|IA de Google: Gemini y NotebookLM
mj_v-uIZGVY|webinar|Claude, la IA de Anthropic
jbVFH0PqCoQ|webinar|Claude, la IA de Anthropic
pQKew4DQGps|webinar|Espacios de Datos

# --- Añadidos 2026-08-19: ERP y gestión documental (feedback usuario) ---
8ricsN5rBDo|webinar|ERP y Gestion Empresarial
keEeYAuWtTw|webinar|Gestion Documental con IA
